id,sbi
20231021_500101001_00:00,13.733349
20231021_500101001_00:20,10.914958
20231021_500101001_00:40,6.836033
20231021_500101001_01:00,6.647309
20231021_500101001_01:20,6.543714
20231021_500101001_01:40,6.948145
20231021_500101001_02:00,6.875669
20231021_500101001_02:20,6.745714
20231021_500101001_02:40,9.191998
20231021_500101001_03:00,11.154569
20231021_500101001_03:20,13.308146
20231021_500101001_03:40,14.527816
20231021_500101001_04:00,15.315273
20231021_500101001_04:20,16.443386
20231021_500101001_04:40,16.811617
20231021_500101001_05:00,17.010956
20231021_500101001_05:20,15.917184
20231021_500101001_05:40,17.621460
20231021_500101001_06:00,19.422791
20231021_500101001_06:20,18.960220
20231021_500101001_06:40,18.549091
20231021_500101001_07:00,14.518229
20231021_500101001_07:20,9.551543
20231021_500101001_07:40,6.088805
20231021_500101001_08:00,4.459596
20231021_500101001_08:20,4.822305
20231021_500101001_08:40,4.089668
20231021_500101001_09:00,1.442261
20231021_500101001_09:20,2.612058
20231021_500101001_09:40,2.159259
20231021_500101001_10:00,2.761571
20231021_500101001_10:20,2.949590
20231021_500101001_10:40,3.216311
20231021_500101001_11:00,3.624000
20231021_500101001_11:20,4.983510
20231021_500101001_11:40,6.593708
20231021_500101001_12:00,7.187178
20231021_500101001_12:20,8.828308
20231021_500101001_12:40,9.211297
20231021_500101001_13:00,7.756824
20231021_500101001_13:20,7.005358
20231021_500101001_13:40,5.818585
20231021_500101001_14:00,5.197001
20231021_500101001_14:20,4.363681
20231021_500101001_14:40,3.693296
20231021_500101001_15:00,2.616955
20231021_500101001_15:20,2.596706
20231021_500101001_15:40,3.414708
20231021_500101001_16:00,4.018964
20231021_500101001_16:20,4.078571
20231021_500101001_16:40,4.252727
20231021_500101001_17:00,7.712494
20231021_500101001_17:20,11.659177
20231021_500101001_17:40,12.750548
20231021_500101001_18:00,10.553428
20231021_500101001_18:20,6.291808
20231021_500101001_18:40,4.553915
20231021_500101001_19:00,4.230898
20231021_500101001_19:20,4.366857
20231021_500101001_19:40,4.107977
20231021_500101001_20:00,4.299233
20231021_500101001_20:20,4.019011
20231021_500101001_20:40,4.017757
20231021_500101001_21:00,2.615777
20231021_500101001_21:20,2.459772
20231021_500101001_21:40,2.407514
20231021_500101001_22:00,2.265253
20231021_500101001_22:20,2.903960
20231021_500101001_22:40,2.480759
20231021_500101001_23:00,2.875952
20231021_500101001_23:20,3.871925
20231021_500101001_23:40,6.164625
20231022_500101001_00:00,12.370498
20231022_500101001_00:20,10.688462
20231022_500101001_00:40,7.806441
20231022_500101001_01:00,6.032264
20231022_500101001_01:20,5.215638
20231022_500101001_01:40,5.682889
20231022_500101001_02:00,5.780974
20231022_500101001_02:20,5.144316
20231022_500101001_02:40,5.109826
20231022_500101001_03:00,6.881865
20231022_500101001_03:20,8.589066
20231022_500101001_03:40,9.603616
20231022_500101001_04:00,9.303073
20231022_500101001_04:20,10.003995
20231022_500101001_04:40,10.421583
20231022_500101001_05:00,10.135018
20231022_500101001_05:20,10.876503
20231022_500101001_05:40,11.710780
20231022_500101001_06:00,13.051672
20231022_500101001_06:20,13.297406
20231022_500101001_06:40,13.520117
20231022_500101001_07:00,11.448709
20231022_500101001_07:20,7.217856
20231022_500101001_07:40,4.059536
20231022_500101001_08:00,2.749114
20231022_500101001_08:20,3.414412
20231022_500101001_08:40,2.735955
20231022_500101001_09:00,2.761406
20231022_500101001_09:20,2.090425
20231022_500101001_09:40,1.927342
20231022_500101001_10:00,2.882470
20231022_500101001_10:20,2.735283
20231022_500101001_10:40,2.642231
20231022_500101001_11:00,3.911714
20231022_500101001_11:20,3.991541
20231022_500101001_11:40,3.502769
20231022_500101001_12:00,3.431611
20231022_500101001_12:20,3.724339
20231022_500101001_12:40,3.842977
20231022_500101001_13:00,2.871745
20231022_500101001_13:20,3.323940
20231022_500101001_13:40,2.978405
20231022_500101001_14:00,2.378942
20231022_500101001_14:20,1.861935
20231022_500101001_14:40,1.259825
20231022_500101001_15:00,1.082661
20231022_500101001_15:20,0.857123
20231022_500101001_15:40,0.769132
20231022_500101001_16:00,0.837755
20231022_500101001_16:20,1.034713
20231022_500101001_16:40,1.819064
20231022_500101001_17:00,3.876135
20231022_500101001_17:20,6.178308
20231022_500101001_17:40,6.836947
20231022_500101001_18:00,4.420373
20231022_500101001_18:20,2.390866
20231022_500101001_18:40,0.656927
20231022_500101001_19:00,0.236941
20231022_500101001_19:20,0.289275
20231022_500101001_19:40,0.633943
20231022_500101001_20:00,0.162141
20231022_500101001_20:20,1.225078
20231022_500101001_20:40,0.802677
20231022_500101001_21:00,0.587146
20231022_500101001_21:20,0.463655
20231022_500101001_21:40,0.584635
20231022_500101001_22:00,0.637387
20231022_500101001_22:20,0.412710
20231022_500101001_22:40,0.859546
20231022_500101001_23:00,1.119329
20231022_500101001_23:20,3.147470
20231022_500101001_23:40,5.617885
20231023_500101001_00:00,11.519542
20231023_500101001_00:20,10.046508
20231023_500101001_00:40,7.216764
20231023_500101001_01:00,6.261568
20231023_500101001_01:20,6.081873
20231023_500101001_01:40,6.419911
20231023_500101001_02:00,6.080436
20231023_500101001_02:20,5.935594
20231023_500101001_02:40,8.621078
20231023_500101001_03:00,11.243614
20231023_500101001_03:20,13.916052
20231023_500101001_03:40,15.455501
20231023_500101001_04:00,16.038204
20231023_500101001_04:20,17.062916
20231023_500101001_04:40,16.200487
20231023_500101001_05:00,16.828516
20231023_500101001_05:20,16.714956
20231023_500101001_05:40,17.516146
20231023_500101001_06:00,19.590136
20231023_500101001_06:20,18.954645
20231023_500101001_06:40,18.067429
20231023_500101001_07:00,12.864118
20231023_500101001_07:20,6.356596
20231023_500101001_07:40,1.453815
20231023_500101001_08:00,1.224863
20231023_500101001_08:20,0.765955
20231023_500101001_08:40,0.017623
20231023_500101001_09:00,0.269352
20231023_500101001_09:20,0.550131
20231023_500101001_09:40,0.450355
20231023_500101001_10:00,0.159038
20231023_500101001_10:20,0.488569
20231023_500101001_10:40,0.300528
20231023_500101001_11:00,0.359576
20231023_500101001_11:20,1.011191
20231023_500101001_11:40,0.285284
20231023_500101001_12:00,0.200769
20231023_500101001_12:20,1.409549
20231023_500101001_12:40,2.080442
20231023_500101001_13:00,0.361534
20231023_500101001_13:20,0.514168
20231023_500101001_13:40,1.016384
20231023_500101001_14:00,0.551045
20231023_500101001_14:20,0.668750
20231023_500101001_14:40,1.030247
20231023_500101001_15:00,1.437390
20231023_500101001_15:20,2.372293
20231023_500101001_15:40,4.019186
20231023_500101001_16:00,5.380979
20231023_500101001_16:20,6.702693
20231023_500101001_16:40,8.437757
20231023_500101001_17:00,11.807174
20231023_500101001_17:20,15.406480
20231023_500101001_17:40,16.434826
20231023_500101001_18:00,13.958547
20231023_500101001_18:20,7.353250
20231023_500101001_18:40,2.266612
20231023_500101001_19:00,0.675278
20231023_500101001_19:20,0.004962
20231023_500101001_19:40,0.191368
20231023_500101001_20:00,0.482482
20231023_500101001_20:20,0.685665
20231023_500101001_20:40,1.625899
20231023_500101001_21:00,1.375646
20231023_500101001_21:20,1.403014
20231023_500101001_21:40,0.697321
20231023_500101001_22:00,0.600221
20231023_500101001_22:20,0.893116
20231023_500101001_22:40,1.038464
20231023_500101001_23:00,2.742450
20231023_500101001_23:20,4.827872
20231023_500101001_23:40,8.117479
20231024_500101001_00:00,17.654030
20231024_500101001_00:20,17.079897
20231024_500101001_00:40,14.407050
20231024_500101001_01:00,13.156701
20231024_500101001_01:20,12.129123
20231024_500101001_01:40,12.514849
20231024_500101001_02:00,12.741112
20231024_500101001_02:20,12.683294
20231024_500101001_02:40,14.752775
20231024_500101001_03:00,17.273264
20231024_500101001_03:20,19.732630
20231024_500101001_03:40,21.105272
20231024_500101001_04:00,22.197189
20231024_500101001_04:20,22.746372
20231024_500101001_04:40,21.630182
20231024_500101001_05:00,22.469584
20231024_500101001_05:20,21.746866
20231024_500101001_05:40,22.611887
20231024_500101001_06:00,24.069517
20231024_500101001_06:20,23.935223
20231024_500101001_06:40,22.942024
20231024_500101001_07:00,17.899076
20231024_500101001_07:20,10.803372
20231024_500101001_07:40,4.579157
20231024_500101001_08:00,1.624443
20231024_500101001_08:20,2.005445
20231024_500101001_08:40,1.076307
20231024_500101001_09:00,0.676629
20231024_500101001_09:20,0.187808
20231024_500101001_09:40,0.154639
20231024_500101001_10:00,0.030664
20231024_500101001_10:20,0.754103
20231024_500101001_10:40,0.103175
20231024_500101001_11:00,0.545567
20231024_500101001_11:20,0.742911
20231024_500101001_11:40,0.321522
20231024_500101001_12:00,0.494756
20231024_500101001_12:20,0.287022
20231024_500101001_12:40,0.558361
20231024_500101001_13:00,0.110423
20231024_500101001_13:20,0.395716
20231024_500101001_13:40,0.388433
20231024_500101001_14:00,0.118687
20231024_500101001_14:20,0.002805
20231024_500101001_14:40,0.959610
20231024_500101001_15:00,1.415202
20231024_500101001_15:20,2.377770
20231024_500101001_15:40,4.054013
20231024_500101001_16:00,5.335590
20231024_500101001_16:20,7.637788
20231024_500101001_16:40,9.934877
20231024_500101001_17:00,12.756778
20231024_500101001_17:20,16.513781
20231024_500101001_17:40,17.494720
20231024_500101001_18:00,14.842408
20231024_500101001_18:20,7.528583
20231024_500101001_18:40,1.757015
20231024_500101001_19:00,0.331944
20231024_500101001_19:20,0.959934
20231024_500101001_19:40,0.566149
20231024_500101001_20:00,0.312345
20231024_500101001_20:20,1.094040
20231024_500101001_20:40,0.994545
20231024_500101001_21:00,0.946733
20231024_500101001_21:20,1.008117
20231024_500101001_21:40,0.792428
20231024_500101001_22:00,0.620613
20231024_500101001_22:20,1.341729
20231024_500101001_22:40,1.178815
20231024_500101001_23:00,2.645980
20231024_500101001_23:20,4.810523
20231024_500101001_23:40,8.160884
20231021_500101002_00:00,5.354833
20231021_500101002_00:20,3.737467
20231021_500101002_00:40,4.945545
20231021_500101002_01:00,4.843176
20231021_500101002_01:20,5.155805
20231021_500101002_01:40,5.217546
20231021_500101002_02:00,5.378587
20231021_500101002_02:20,4.957946
20231021_500101002_02:40,5.123958
20231021_500101002_03:00,5.232413
20231021_500101002_03:20,4.190696
20231021_500101002_03:40,4.420659
20231021_500101002_04:00,4.409501
20231021_500101002_04:20,4.714213
20231021_500101002_04:40,5.163486
20231021_500101002_05:00,5.141010
20231021_500101002_05:20,6.017945
20231021_500101002_05:40,6.481575
20231021_500101002_06:00,7.606650
20231021_500101002_06:20,8.211923
20231021_500101002_06:40,8.786100
20231021_500101002_07:00,9.472794
20231021_500101002_07:20,8.080384
20231021_500101002_07:40,6.184708
20231021_500101002_08:00,4.953929
20231021_500101002_08:20,4.510158
20231021_500101002_08:40,4.153691
20231021_500101002_09:00,2.542529
20231021_500101002_09:20,2.553517
20231021_500101002_09:40,2.254379
20231021_500101002_10:00,2.543923
20231021_500101002_10:20,2.871148
20231021_500101002_10:40,2.571065
20231021_500101002_11:00,2.290192
20231021_500101002_11:20,2.717714
20231021_500101002_11:40,3.487215
20231021_500101002_12:00,5.079922
20231021_500101002_12:20,5.539324
20231021_500101002_12:40,5.641510
20231021_500101002_13:00,4.675981
20231021_500101002_13:20,4.222801
20231021_500101002_13:40,4.013853
20231021_500101002_14:00,3.357818
20231021_500101002_14:20,2.562027
20231021_500101002_14:40,1.964533
20231021_500101002_15:00,2.238612
20231021_500101002_15:20,2.157591
20231021_500101002_15:40,2.090411
20231021_500101002_16:00,1.675801
20231021_500101002_16:20,2.694976
20231021_500101002_16:40,3.220317
20231021_500101002_17:00,4.155962
20231021_500101002_17:20,4.909927
20231021_500101002_17:40,5.857959
20231021_500101002_18:00,6.811326
20231021_500101002_18:20,5.619310
20231021_500101002_18:40,4.270626
20231021_500101002_19:00,3.204871
20231021_500101002_19:20,2.759732
20231021_500101002_19:40,2.997824
20231021_500101002_20:00,2.872357
20231021_500101002_20:20,3.399926
20231021_500101002_20:40,3.572892
20231021_500101002_21:00,2.815825
20231021_500101002_21:20,3.514388
20231021_500101002_21:40,3.673428
20231021_500101002_22:00,3.118241
20231021_500101002_22:20,3.352497
20231021_500101002_22:40,3.508213
20231021_500101002_23:00,4.150491
20231021_500101002_23:20,4.036162
20231021_500101002_23:40,4.266438
20231022_500101002_00:00,5.071317
20231022_500101002_00:20,3.923067
20231022_500101002_00:40,3.182807
20231022_500101002_01:00,3.164604
20231022_500101002_01:20,3.473551
20231022_500101002_01:40,3.818939
20231022_500101002_02:00,3.756059
20231022_500101002_02:20,3.138713
20231022_500101002_02:40,3.799633
20231022_500101002_03:00,4.219916
20231022_500101002_03:20,3.978596
20231022_500101002_03:40,4.607015
20231022_500101002_04:00,4.203735
20231022_500101002_04:20,4.774272
20231022_500101002_04:40,4.501529
20231022_500101002_05:00,4.314562
20231022_500101002_05:20,4.306381
20231022_500101002_05:40,4.188344
20231022_500101002_06:00,4.950139
20231022_500101002_06:20,5.393541
20231022_500101002_06:40,6.241355
20231022_500101002_07:00,6.501083
20231022_500101002_07:20,5.128450
20231022_500101002_07:40,4.181827
20231022_500101002_08:00,2.970941
20231022_500101002_08:20,3.284646
20231022_500101002_08:40,3.032132
20231022_500101002_09:00,2.519003
20231022_500101002_09:20,2.310760
20231022_500101002_09:40,2.519714
20231022_500101002_10:00,2.301342
20231022_500101002_10:20,2.940259
20231022_500101002_10:40,2.464299
20231022_500101002_11:00,4.223972
20231022_500101002_11:20,4.317889
20231022_500101002_11:40,3.883185
20231022_500101002_12:00,4.211634
20231022_500101002_12:20,3.571958
20231022_500101002_12:40,3.556714
20231022_500101002_13:00,2.778586
20231022_500101002_13:20,2.475310
20231022_500101002_13:40,2.791290
20231022_500101002_14:00,2.217163
20231022_500101002_14:20,1.741802
20231022_500101002_14:40,1.501482
20231022_500101002_15:00,1.361335
20231022_500101002_15:20,1.313716
20231022_500101002_15:40,1.209976
20231022_500101002_16:00,0.970498
20231022_500101002_16:20,1.349960
20231022_500101002_16:40,1.297172
20231022_500101002_17:00,2.292824
20231022_500101002_17:20,3.436902
20231022_500101002_17:40,4.197569
20231022_500101002_18:00,4.629567
20231022_500101002_18:20,3.196239
20231022_500101002_18:40,1.829830
20231022_500101002_19:00,0.988138
20231022_500101002_19:20,0.390112
20231022_500101002_19:40,0.290194
20231022_500101002_20:00,0.151287
20231022_500101002_20:20,0.301145
20231022_500101002_20:40,1.090266
20231022_500101002_21:00,0.484288
20231022_500101002_21:20,0.784895
20231022_500101002_21:40,0.793660
20231022_500101002_22:00,0.538117
20231022_500101002_22:20,0.760282
20231022_500101002_22:40,0.914664
20231022_500101002_23:00,1.576034
20231022_500101002_23:20,1.587923
20231022_500101002_23:40,1.493968
20231023_500101002_00:00,2.911185
20231023_500101002_00:20,1.599159
20231023_500101002_00:40,1.131379
20231023_500101002_01:00,2.089331
20231023_500101002_01:20,2.651912
20231023_500101002_01:40,2.638778
20231023_500101002_02:00,3.097910
20231023_500101002_02:20,2.907251
20231023_500101002_02:40,3.402564
20231023_500101002_03:00,3.416540
20231023_500101002_03:20,2.878031
20231023_500101002_03:40,3.564792
20231023_500101002_04:00,3.318690
20231023_500101002_04:20,3.584026
20231023_500101002_04:40,3.322346
20231023_500101002_05:00,2.559970
20231023_500101002_05:20,2.957403
20231023_500101002_05:40,3.506419
20231023_500101002_06:00,4.271899
20231023_500101002_06:20,4.565524
20231023_500101002_06:40,5.473671
20231023_500101002_07:00,5.466606
20231023_500101002_07:20,4.118290
20231023_500101002_07:40,1.998980
20231023_500101002_08:00,0.422746
20231023_500101002_08:20,0.666975
20231023_500101002_08:40,0.608659
20231023_500101002_09:00,0.919187
20231023_500101002_09:20,0.373152
20231023_500101002_09:40,0.468812
20231023_500101002_10:00,0.665763
20231023_500101002_10:20,0.635042
20231023_500101002_10:40,0.692743
20231023_500101002_11:00,0.486748
20231023_500101002_11:20,0.584323
20231023_500101002_11:40,0.249638
20231023_500101002_12:00,0.838097
20231023_500101002_12:20,1.004109
20231023_500101002_12:40,1.339767
20231023_500101002_13:00,0.879778
20231023_500101002_13:20,0.866786
20231023_500101002_13:40,1.285765
20231023_500101002_14:00,1.181008
20231023_500101002_14:20,0.959261
20231023_500101002_14:40,1.153096
20231023_500101002_15:00,1.426938
20231023_500101002_15:20,1.519226
20231023_500101002_15:40,2.276170
20231023_500101002_16:00,3.009197
20231023_500101002_16:20,4.678507
20231023_500101002_16:40,5.309350
20231023_500101002_17:00,6.068895
20231023_500101002_17:20,7.777931
20231023_500101002_17:40,8.230423
20231023_500101002_18:00,8.108662
20231023_500101002_18:20,5.963713
20231023_500101002_18:40,2.679175
20231023_500101002_19:00,1.457271
20231023_500101002_19:20,0.397552
20231023_500101002_19:40,0.354573
20231023_500101002_20:00,0.037313
20231023_500101002_20:20,0.345662
20231023_500101002_20:40,1.148079
20231023_500101002_21:00,1.431556
20231023_500101002_21:20,1.540665
20231023_500101002_21:40,1.438358
20231023_500101002_22:00,1.076750
20231023_500101002_22:20,1.202417
20231023_500101002_22:40,1.028725
20231023_500101002_23:00,1.572158
20231023_500101002_23:20,1.356452
20231023_500101002_23:40,1.320966
20231024_500101002_00:00,2.366905
20231024_500101002_00:20,3.160405
20231024_500101002_00:40,3.112233
20231024_500101002_01:00,3.159852
20231024_500101002_01:20,3.224762
20231024_500101002_01:40,3.961441
20231024_500101002_02:00,4.423982
20231024_500101002_02:20,5.086763
20231024_500101002_02:40,5.400122
20231024_500101002_03:00,5.506590
20231024_500101002_03:20,5.324869
20231024_500101002_03:40,5.681227
