id,sbi
20231021_500101001_00:00,7.599682
20231021_500101001_00:20,7.071932
20231021_500101001_00:40,5.055415
20231021_500101001_01:00,4.777002
20231021_500101001_01:20,2.402648
20231021_500101001_01:40,2.195013
20231021_500101001_02:00,7.777493
20231021_500101001_02:20,9.128459
20231021_500101001_02:40,11.808526
20231021_500101001_03:00,11.735308
20231021_500101001_03:20,10.712574
20231021_500101001_03:40,13.476751
20231021_500101001_04:00,12.181541
20231021_500101001_04:20,10.822420
20231021_500101001_04:40,12.388884
20231021_500101001_05:00,10.618858
20231021_500101001_05:20,12.702099
20231021_500101001_05:40,13.938305
20231021_500101001_06:00,18.094627
20231021_500101001_06:20,18.974838
20231021_500101001_06:40,17.010914
20231021_500101001_07:00,20.860464
20231021_500101001_07:20,16.949310
20231021_500101001_07:40,13.456282
20231021_500101001_08:00,8.364238
20231021_500101001_08:20,3.401443
20231021_500101001_08:40,2.564342
20231021_500101001_09:00,1.571439
20231021_500101001_09:20,2.894349
20231021_500101001_09:40,3.865117
20231021_500101001_10:00,2.547146
20231021_500101001_10:20,4.737477
20231021_500101001_10:40,4.926495
20231021_500101001_11:00,10.212032
20231021_500101001_11:20,12.969921
20231021_500101001_11:40,9.486162
20231021_500101001_12:00,10.049620
20231021_500101001_12:20,11.926575
20231021_500101001_12:40,14.312301
20231021_500101001_13:00,17.386457
20231021_500101001_13:20,14.732443
20231021_500101001_13:40,10.957918
20231021_500101001_14:00,6.861552
20231021_500101001_14:20,4.880245
20231021_500101001_14:40,5.816452
20231021_500101001_15:00,3.251335
20231021_500101001_15:20,3.246759
20231021_500101001_15:40,5.082713
20231021_500101001_16:00,6.654098
20231021_500101001_16:20,7.872137
20231021_500101001_16:40,6.052647
20231021_500101001_17:00,5.423585
20231021_500101001_17:20,8.563637
20231021_500101001_17:40,11.653311
20231021_500101001_18:00,14.148276
20231021_500101001_18:20,9.555964
20231021_500101001_18:40,6.052727
20231021_500101001_19:00,3.069075
20231021_500101001_19:20,2.338621
20231021_500101001_19:40,2.848019
20231021_500101001_20:00,3.437505
20231021_500101001_20:20,5.222286
20231021_500101001_20:40,0.827341
20231021_500101001_21:00,0.845394
20231021_500101001_21:20,4.562033
20231021_500101001_21:40,6.479885
20231021_500101001_22:00,6.238925
20231021_500101001_22:20,3.889974
20231021_500101001_22:40,1.350273
20231021_500101001_23:00,0.074709
20231021_500101001_23:20,0.127365
20231021_500101001_23:40,3.435464
