id,sbi
20231021_500101001_00:00,2.876063
20231021_500101001_00:20,4.891658
20231021_500101001_00:40,2.086597
20231021_500101001_01:00,0.625345
20231021_500101001_01:20,3.110649
20231021_500101001_01:40,4.721507
20231021_500101001_02:00,6.450416
20231021_500101001_02:20,8.946809
20231021_500101001_02:40,12.311365
20231021_500101001_03:00,16.093988
20231021_500101001_03:20,17.565825
20231021_500101001_03:40,18.522299
20231021_500101001_04:00,18.332066
20231021_500101001_04:20,18.470201
20231021_500101001_04:40,19.480278
20231021_500101001_05:00,19.237015
20231021_500101001_05:20,22.568117
20231021_500101001_05:40,25.509602
20231021_500101001_06:00,28.000000
20231021_500101001_06:20,27.864305
20231021_500101001_06:40,25.314081
20231021_500101001_07:00,24.712723
20231021_500101001_07:20,19.856688
20231021_500101001_07:40,15.395104
20231021_500101001_08:00,10.178729
20231021_500101001_08:20,6.727172
20231021_500101001_08:40,5.346073
20231021_500101001_09:00,4.986387
20231021_500101001_09:20,5.054914
20231021_500101001_09:40,7.356352
20231021_500101001_10:00,9.742900
20231021_500101001_10:20,13.430037
20231021_500101001_10:40,13.052632
20231021_500101001_11:00,14.157818
20231021_500101001_11:20,14.355331
20231021_500101001_11:40,14.505981
20231021_500101001_12:00,14.226383
20231021_500101001_12:20,14.105517
20231021_500101001_12:40,14.816279
20231021_500101001_13:00,12.345994
20231021_500101001_13:20,10.853962
20231021_500101001_13:40,11.017148
20231021_500101001_14:00,10.613974
20231021_500101001_14:20,9.268860
20231021_500101001_14:40,6.287844
20231021_500101001_15:00,4.686545
20231021_500101001_15:20,5.199821
20231021_500101001_15:40,8.226840
20231021_500101001_16:00,12.176030
20231021_500101001_16:20,13.850768
20231021_500101001_16:40,11.713790
20231021_500101001_17:00,9.806098
20231021_500101001_17:20,9.918933
20231021_500101001_17:40,11.907180
20231021_500101001_18:00,11.989277
20231021_500101001_18:20,8.690877
20231021_500101001_18:40,6.789892
20231021_500101001_19:00,4.835109
20231021_500101001_19:20,6.020430
20231021_500101001_19:40,5.823177
20231021_500101001_20:00,4.024439
20231021_500101001_20:20,2.882880
20231021_500101001_20:40,0.916265
20231021_500101001_21:00,1.781017
20231021_500101001_21:20,1.734541
20231021_500101001_21:40,2.898247
20231021_500101001_22:00,1.757079
20231021_500101001_22:20,0.269140
20231021_500101001_22:40,0.462735
20231021_500101001_23:00,0.860138
20231021_500101001_23:20,1.741149
20231021_500101001_23:40,5.499882
20231022_500101001_00:00,15.837602
20231022_500101001_00:20,10.807834
20231022_500101001_00:40,7.084909
20231022_500101001_01:00,5.865612
20231022_500101001_01:20,6.221896
20231022_500101001_01:40,7.734353
20231022_500101001_02:00,8.768474
20231022_500101001_02:20,7.928565
20231022_500101001_02:40,8.345232
20231022_500101001_03:00,6.590376
20231022_500101001_03:20,7.238012
20231022_500101001_03:40,8.696576
20231022_500101001_04:00,6.763824
20231022_500101001_04:20,8.187009
20231022_500101001_04:40,7.162644
20231022_500101001_05:00,5.855004
20231022_500101001_05:20,7.071115
20231022_500101001_05:40,5.473270
20231022_500101001_06:00,6.550997
20231022_500101001_06:20,7.142852
20231022_500101001_06:40,7.375039
20231022_500101001_07:00,9.940779
20231022_500101001_07:20,7.593387
20231022_500101001_07:40,4.606943
20231022_500101001_08:00,2.012317
20231022_500101001_08:20,1.995034
20231022_500101001_08:40,0.837856
20231022_500101001_09:00,3.331822
20231022_500101001_09:20,4.320553
20231022_500101001_09:40,0.802633
20231022_500101001_10:00,1.359897
20231022_500101001_10:20,4.481175
20231022_500101001_10:40,6.380465
20231022_500101001_11:00,6.333906
20231022_500101001_11:20,6.438637
20231022_500101001_11:40,6.591090
20231022_500101001_12:00,9.184892
20231022_500101001_12:20,9.736523
20231022_500101001_12:40,9.688862
20231022_500101001_13:00,5.198949
20231022_500101001_13:20,1.803854
20231022_500101001_13:40,3.849753
20231022_500101001_14:00,2.912839
20231022_500101001_14:20,2.279898
20231022_500101001_14:40,1.921648
20231022_500101001_15:00,1.180906
20231022_500101001_15:20,0.984852
20231022_500101001_15:40,0.433744
20231022_500101001_16:00,0.685668
20231022_500101001_16:20,2.175052
20231022_500101001_16:40,0.492958
20231022_500101001_17:00,1.150291
20231022_500101001_17:20,1.426461
20231022_500101001_17:40,0.729247
20231022_500101001_18:00,2.135309
20231022_500101001_18:20,0.697256
20231022_500101001_18:40,0.334524
20231022_500101001_19:00,0.484395
20231022_500101001_19:20,0.461646
20231022_500101001_19:40,0.079947
20231022_500101001_20:00,1.291655
20231022_500101001_20:20,0.475684
20231022_500101001_20:40,0.716151
20231022_500101001_21:00,1.149675
20231022_500101001_21:20,2.293273
20231022_500101001_21:40,1.765002
20231022_500101001_22:00,2.737168
20231022_500101001_22:20,0.814017
20231022_500101001_22:40,0.097027
20231022_500101001_23:00,1.028290
20231022_500101001_23:20,3.981671
20231022_500101001_23:40,9.297930
20231023_500101001_00:00,2.147524
20231023_500101001_00:20,2.519533
20231023_500101001_00:40,1.947647
20231023_500101001_01:00,2.309797
20231023_500101001_01:20,3.822370
20231023_500101001_01:40,3.832794
20231023_500101001_02:00,1.886023
20231023_500101001_02:20,1.060047
20231023_500101001_02:40,0.830371
20231023_500101001_03:00,3.432925
20231023_500101001_03:20,6.134883
20231023_500101001_03:40,6.190742
20231023_500101001_04:00,8.754024
20231023_500101001_04:20,11.706794
20231023_500101001_04:40,14.917409
20231023_500101001_05:00,16.284872
20231023_500101001_05:20,19.791203
20231023_500101001_05:40,20.869719
20231023_500101001_06:00,20.837423
20231023_500101001_06:20,21.449209
20231023_500101001_06:40,18.161098
20231023_500101001_07:00,12.671611
20231023_500101001_07:20,3.656420
20231023_500101001_07:40,1.314373
20231023_500101001_08:00,1.862875
20231023_500101001_08:20,0.391945
20231023_500101001_08:40,0.483980
20231023_500101001_09:00,2.112535
20231023_500101001_09:20,2.092765
20231023_500101001_09:40,1.585009
20231023_500101001_10:00,0.173686
20231023_500101001_10:20,0.488046
20231023_500101001_10:40,1.092163
20231023_500101001_11:00,0.418410
20231023_500101001_11:20,0.875980
20231023_500101001_11:40,1.822536
20231023_500101001_12:00,0.704083
20231023_500101001_12:20,0.839477
20231023_500101001_12:40,1.051231
20231023_500101001_13:00,0.391530
20231023_500101001_13:20,0.541514
