id, sbi
20231021_500119091_00:00, 6.748489
20231021_500119091_00:20, 3.746490
20231021_500119091_00:40, 5.468521
20231021_500119091_01:00, 6.662437
20231021_500119091_01:20, 7.042007
20231021_500119091_01:40, 6.968473
20231021_500119091_02:00, 6.531179
20231021_500119091_02:20, 5.922702
20231021_500119091_02:40, 5.079467
20231021_500119091_03:00, 5.469894
20231021_500119091_03:20, 5.448848
20231021_500119091_03:40, 4.753762
20231021_500119091_04:00, 4.701849
20231021_500119091_04:20, 3.371558
20231021_500119091_04:40, 3.357196
20231021_500119091_05:00, 3.207001
20231021_500119091_05:20, 3.776948
20231021_500119091_05:40, 4.024059
20231021_500119091_06:00, 3.304369
20231021_500119091_06:20, 2.709312
20231021_500119091_06:40, 2.112936
20231021_500119091_07:00, 1.981814
20231021_500119091_07:20, 1.955326
20231021_500119091_07:40, 0.748918
20231021_500119091_08:00, -0.019862
20231021_500119091_08:20, -0.614572
20231021_500119091_08:40, -0.598242
20231021_500119091_09:00, -0.566822
20231021_500119091_09:20, 3.771870
20231021_500119091_09:40, 3.851049
20231021_500119091_10:00, 4.279074
20231021_500119091_10:20, 5.553707
20231021_500119091_10:40, 6.777855
20231021_500119091_11:00, 6.317745
20231021_500119091_11:20, 5.502159
20231021_500119091_11:40, 4.473874
20231021_500119091_12:00, 4.389082
20231021_500119091_12:20, 3.490395
20231021_500119091_12:40, 2.398057
20231021_500119091_13:00, 2.700926
20231021_500119091_13:20, 3.140141
20231021_500119091_13:40, 3.871490
20231021_500119091_14:00, 4.163927
20231021_500119091_14:20, 4.196810
20231021_500119091_14:40, 4.744980
20231021_500119091_15:00, 4.713420
20231021_500119091_15:20, 4.535094
20231021_500119091_15:40, 4.483043
20231021_500119091_16:00, 5.059462
20231021_500119091_16:20, 5.119388
20231021_500119091_16:40, 6.037508
20231021_500119091_17:00, 6.301309
20231021_500119091_17:20, 4.469445
20231021_500119091_17:40, 2.180934
20231021_500119091_18:00, 1.266719
20231021_500119091_18:20, 1.089287
20231021_500119091_18:40, 1.252768
20231021_500119091_19:00, 1.922202
20231021_500119091_19:20, 2.142216
20231021_500119091_19:40, 2.802203
20231021_500119091_20:00, 4.164113
20231021_500119091_20:20, 4.033866
20231021_500119091_20:40, 4.412055
20231021_500119091_21:00, 4.530201
20231021_500119091_21:20, 4.290247
20231021_500119091_21:40, 4.453518
20231021_500119091_22:00, 3.988761
